x,temperature_pattern,humidity_pattern,pressure_pattern,wind_pattern
0,28.8,19,1004.0,11.5
1,27.0,54,1006.0,6.1
2,28.0,30,1014.0,13.0
3,10.2,51,1015.0,9.7
4,25.0,69,1016.0,3.6
5,29.0,79,1015.0,15.1
6,9.0,71,1023.0,11.2
7,31.0,26,1003.0,9.0
8,13.0,62,1017.0,15.1
9,16.0,82,1005.0,19.1
10,31.0,36,1003.0,22.0
11,29.8,80,1012.0,14.4
12,38.0,54,1000.0,13.0
13,34.0,52,1000.0,5.4
14,27.0,89,1013.0,25.9
15,22.0,61,1012.0,11.2
16,16.0,82,1013.0,6.1
17,23.6,95,1009.0,6.8
18,28.0,84,1016.0,16.9
19,17.1,75,1005.0,8.6
20,10.8,38,1013.0,3.6
21,23.0,47,1004.0,29.9
22,18.4,35,1031.0,15.1
23,23.8,54,1010.0,5.0
24,31.0,79,1006.0,11.2
25,28.0,40,1008.0,15.1
26,28.0,79,1016.0,6.8
27,28.9,34,1018.0,16.9
28,22.9,35,1026.0,10.1
29,28.0,74,1011.0,15.1
30,30.0,75,1003.0,11.2
31,23.9,78,1016.0,3.6
32,11.0,100,1014.0,6.8
33,26.3,80,1014.0,3.6
34,32.0,67,1012.0,19.1
35,5.0,87,1021.0,6.1
36,28.0,37,1010.0,6.8
37,36.4,17,1003.0,11.9
38,24.0,83,1019.0,24.1
39,31.1,51,1015.0,9.0
40,21.0,94,1016.0,6.1
41,23.0,69,1002.0,3.6
42,26.0,100,1007.0,15.1
43,35.0,35,1003.0,11.2
44,13.0,94,1007.0,9.0
45,31.1,50,1015.0,9.0
46,17.0,72,1011.0,6.8
47,42.0,29,1005.0,15.1
48,28.2,79,1015.0,19.8
49,26.0,94,1015.0,6.8
50,8.9,62,1020.0,6.8
51,31.0,46,1008.0,19.1
52,26.0,94,1010.0,6.8
53,25.9,81,1016.0,8.6
54,25.1,34,1012.0,17.3
55,19.0,73,1010.0,16.9
56,20.0,49,1034.0,3.6
57,17.0,83,1027.0,13.0
58,24.0,78,1016.0,13.0
59,20.0,64,1009.0,19.1
60,18.0,64,1014.0,11.2
61,27.0,74,1016.0,8.3
62,27.0,94,1012.0,15.1
63,30.0,43,1005.0,13.0
64,16.0,82,1009.0,15.1
65,26.0,89,1017.0,11.2
66,32.0,26,1006.0,11.2
67,26.0,94,1013.0,20.2
68,17.0,96,1013.0,3.6
69,25.0,100,1015.0,6.8
70,28.0,84,1013.0,11.2
71,24.0,100,1013.0,3.6
72,27.0,89,1013.0,15.1
73,21.0,88,1002.0,3.6
74,21.0,88,1017.0,6.1
75,20.0,88,1005.0,11.2
76,11.0,82,1010.0,6.8
77,34.0,50,1004.0,6.8
78,31.0,63,1007.0,25.9
79,33.0,15,1008.0,15.1
80,37.0,24,1001.0,11.2
81,14.0,88,1012.0,22.0
82,30.0,62,1006.0,20.2
83,21.0,88,1002.0,3.6
84,30.0,84,1012.0,22.0
85,32.0,59,1012.0,15.1
86,27.0,51,1011.0,19.1
87,22.0,29,1005.0,31.0
88,21.0,43,1027.0,16.9
89,28.9,77,1010.0,16.6
90,39.6,23,999.0,3.6
91,27.4,20,1006.0,9.7
92,27.9,60,1010.0,12.2
93,16.0,94,1012.0,9.0
94,30.0,62,1007.0,24.1
95,18.9,15,1030.0,4.3
96,25.0,94,1014.0,3.6
97,33.0,63,1003.0,3.6
98,12.0,100,1012.0,6.8
